ID,UMAP1,UMAP2
0,3.004537,-0.4664003
1,6.034864,0.34247124
2,3.225338,-1.0935515
3,6.710925,0.74385345
4,2.8285828,-0.4075898
5,5.5463953,2.669713
6,6.2984767,-1.6326932
7,6.0974283,-0.3019777
8,6.256976,1.5748373
9,3.9684324,-1.6662277
10,4.3587613,-1.993197
11,5.5784874,0.590244
12,5.9586024,-0.7083715
13,7.4041376,1.0378295
14,4.5695233,-1.8601619
15,6.9909415,1.0910522
16,7.538207,0.84450746
17,3.016826,-0.8900868
18,5.2062826,2.399111
19,5.019991,-1.6361909
20,7.5031004,1.0323392
21,5.070861,-1.0023413
22,7.474817,0.98428416
23,6.921144,-0.034947865
24,6.5529633,0.36241296
25,6.3481627,-1.2044985
26,4.2994547,1.3789989
27,6.105545,-1.1492234
28,7.61683,0.15493843
29,4.660913,-1.911334
30,6.95902,1.0533152
31,5.435208,-1.4612411
32,6.6578107,0.90917695
33,5.578039,-1.6633986
34,5.3702445,-1.6749177
35,5.36541,-1.5354401
36,5.7243714,-1.1897372
37,4.293178,1.9647725
38,4.0966554,1.2683306
39,5.3299756,2.2013667
40,3.3277879,-0.13291489
41,3.9490104,-1.422954
42,5.35663,0.9751299
43,5.657099,-0.98187596
44,6.6193285,0.2011951
45,3.7709644,-0.838822
46,4.7019825,1.8902677
47,3.966121,0.06121368
48,6.60477,0.25505665
49,4.3998375,-0.8540512
50,5.440485,1.3958601
51,4.1810455,0.10092896
52,5.7945223,1.3873013
53,5.7466946,-0.2317264
54,6.90247,0.5923935
55,4.412376,-0.14218354
56,5.3675485,0.42616162
57,4.668703,-1.4425572
58,6.585034,0.97412497
59,3.0454926,-0.34039396
60,4.130098,1.1057996
61,3.557012,-0.43076614
62,4.9735494,1.9884014
63,3.3024569,-0.6767654
64,5.405428,2.1056564
65,3.3106174,-0.36419657
66,5.035449,2.159712
67,6.5636797,-1.066661
68,6.778948,-0.6127559
69,3.1364532,-0.93615484
70,4.899357,2.3731046
71,4.7252526,1.9857845
72,3.188515,-0.70182914
73,3.4726815,-0.6293087
74,5.9141693,1.7784415
75,4.5959053,-1.6808914
76,5.3893366,1.3030213
77,4.294848,-1.6847107
78,5.847054,1.6275744
79,4.4868393,-1.4061961
80,5.6184196,0.04892699
81,6.167266,-0.172078
82,4.4458237,-0.15871702
83,6.9848366,1.4726917
84,3.4954197,-1.0923252
85,6.8278813,1.555208
86,4.47823,-1.6594791
87,6.544094,1.424835
88,6.1334834,-1.1108251
89,5.2269197,0.8136387
90,3.9257727,0.5988938
91,4.000632,1.6035608
92,4.1480403,0.52782416
93,4.3434033,0.90065706
94,5.2051153,0.118517786
95,5.636252,1.6602911
96,3.7549794,-1.2316207
97,4.8932457,0.3520009
98,4.3332524,-0.95185816
99,7.073026,0.70718485
100,5.2910166,-0.24973887
101,6.322064,2.0189207
102,4.945043,-0.34447426
103,4.2505684,-0.7729001
104,6.3833237,1.949556
105,4.268935,-1.5348294
106,6.7249975,1.7585949
107,7.1871347,-0.42835766
108,6.4897237,1.0947248
109,3.9466164,-0.43857446
110,5.644117,1.9194673
111,4.996223,0.54122424
112,4.3589673,0.34759125
113,4.859522,0.6285145
114,6.302833,1.7185919
115,3.9463995,-0.4244438
116,6.389268,1.4045843
